RunId,iteration,Step,seed,connectivity,n_lanes,car_cost,beta,gamma,safety_bonus,cycling_mode_share,LCC
0,0,100.0,,connected,50,4.0,0.5,1.0,2.0,0.2,50
1,0,100.0,,connected,100,4.0,0.5,1.0,2.0,0.16333333333333333,100
2,0,100.0,,fragmented,50,4.0,0.5,1.0,2.0,0.16666666666666666,4
3,0,100.0,,fragmented,100,4.0,0.5,1.0,2.0,0.11,11
4,0,100.0,,connected,50,4.0,0.5,1.0,2.0,0.13666666666666666,50
5,0,100.0,,connected,100,4.0,0.5,1.0,2.0,0.18333333333333332,100
6,0,100.0,,fragmented,50,4.0,0.5,1.0,2.0,0.12,4
7,0,100.0,,fragmented,100,4.0,0.5,1.0,2.0,0.14333333333333334,11
8,0,100.0,,connected,50,4.0,0.5,1.0,2.0,0.16333333333333333,50
9,0,100.0,,connected,100,4.0,0.5,1.0,2.0,0.17,100
10,0,100.0,,fragmented,50,4.0,0.5,1.0,2.0,0.1,3
11,0,100.0,,fragmented,100,4.0,0.5,1.0,2.0,0.10666666666666667,9
12,0,100.0,,connected,50,4.0,0.5,1.0,2.0,0.14333333333333334,50
13,0,100.0,,connected,100,4.0,0.5,1.0,2.0,0.17666666666666667,100
14,0,100.0,,fragmented,50,4.0,0.5,1.0,2.0,0.15,5
15,0,100.0,,fragmented,100,4.0,0.5,1.0,2.0,0.17,20
16,0,100.0,,connected,50,4.0,0.5,1.0,2.0,0.18333333333333332,50
17,0,100.0,,connected,100,4.0,0.5,1.0,2.0,0.22333333333333333,100
18,0,100.0,,fragmented,50,4.0,0.5,1.0,2.0,0.12333333333333334,3
19,0,100.0,,fragmented,100,4.0,0.5,1.0,2.0,0.12666666666666668,5
20,0,100.0,,connected,50,4.0,0.5,1.0,2.0,0.18666666666666668,50
21,0,100.0,,connected,100,4.0,0.5,1.0,2.0,0.22,100
22,0,100.0,,fragmented,50,4.0,0.5,1.0,2.0,0.11333333333333333,4
23,0,100.0,,fragmented,100,4.0,0.5,1.0,2.0,0.16,5
24,0,100.0,,connected,50,4.0,0.5,1.0,2.0,0.14333333333333334,50
25,0,100.0,,connected,100,4.0,0.5,1.0,2.0,0.16,100
26,0,100.0,,fragmented,50,4.0,0.5,1.0,2.0,0.12,5
27,0,100.0,,fragmented,100,4.0,0.5,1.0,2.0,0.12,8
28,0,100.0,,connected,50,4.0,0.5,1.0,2.0,0.13666666666666666,50
29,0,100.0,,connected,100,4.0,0.5,1.0,2.0,0.19333333333333333,100
30,0,100.0,,fragmented,50,4.0,0.5,1.0,2.0,0.13666666666666666,5
31,0,100.0,,fragmented,100,4.0,0.5,1.0,2.0,0.15666666666666668,5
32,0,100.0,,connected,50,4.0,0.5,1.0,2.0,0.13,50
33,0,100.0,,connected,100,4.0,0.5,1.0,2.0,0.17666666666666667,100
34,0,100.0,,fragmented,50,4.0,0.5,1.0,2.0,0.09333333333333334,3
35,0,100.0,,fragmented,100,4.0,0.5,1.0,2.0,0.13,7
36,0,100.0,,connected,50,4.0,0.5,1.0,2.0,0.16333333333333333,50
37,0,100.0,,connected,100,4.0,0.5,1.0,2.0,0.21333333333333335,100
38,0,100.0,,fragmented,50,4.0,0.5,1.0,2.0,0.10666666666666667,3
39,0,100.0,,fragmented,100,4.0,0.5,1.0,2.0,0.1,8
40,0,100.0,,connected,50,4.0,0.5,1.0,2.0,0.14666666666666667,50
41,0,100.0,,connected,100,4.0,0.5,1.0,2.0,0.19333333333333333,100
42,0,100.0,,fragmented,50,4.0,0.5,1.0,2.0,0.09333333333333334,5
43,0,100.0,,fragmented,100,4.0,0.5,1.0,2.0,0.10333333333333333,7
44,0,100.0,,connected,50,4.0,0.5,1.0,2.0,0.18666666666666668,50
45,0,100.0,,connected,100,4.0,0.5,1.0,2.0,0.19333333333333333,100
46,0,100.0,,fragmented,50,4.0,0.5,1.0,2.0,0.12,5
47,0,100.0,,fragmented,100,4.0,0.5,1.0,2.0,0.09333333333333334,6
48,0,100.0,,connected,50,4.0,0.5,1.0,2.0,0.10666666666666667,50
49,0,100.0,,connected,100,4.0,0.5,1.0,2.0,0.19333333333333333,100
50,0,100.0,,fragmented,50,4.0,0.5,1.0,2.0,0.07333333333333333,4
51,0,100.0,,fragmented,100,4.0,0.5,1.0,2.0,0.11333333333333333,12
52,0,100.0,,connected,50,4.0,0.5,1.0,2.0,0.15333333333333332,50
53,0,100.0,,connected,100,4.0,0.5,1.0,2.0,0.22,100
54,0,100.0,,fragmented,50,4.0,0.5,1.0,2.0,0.14,5
55,0,100.0,,fragmented,100,4.0,0.5,1.0,2.0,0.10666666666666667,15
56,0,100.0,,connected,50,4.0,0.5,1.0,2.0,0.14333333333333334,50
57,0,100.0,,connected,100,4.0,0.5,1.0,2.0,0.17,100
